id;temp;cv
101;194,2196195;681,4913096
101;196,2693237;690,3382336
101;198,3183492;703,9739371
101;200,3667469;722,0392617
101;202,41573;735,9742639
101;204,4653239;745,5993646
101;206,5148754;755,523764
101;208,564096;767,7826934
101;210,6116963;791,4748339
101;212,658058;823,906497
101;214,7000846;886,9264892
101;216,7388959;972,6333243
101;218,7814485;1031,942012
101;220,829159;1054,855976
101;222,8768102;1078,188958
101;224,924894;1098,469093
101;226,9761761;1096,182105
101;229,0261518;1103,113517
101;231,0741932;1123,692951
101;233,1244319;1128,768711
101;235,1748402;1132,647276
101;237,2249431;1138,680792
101;239,2758095;1139,326932
101;241,3260821;1144,163253
101;243,3751924;1157,200359
101;245,4253293;1162,994436
101;247,4741257;1178,246352
101;249,5240759;1185,357344
101;251,5739158;1193,246512
101;253,6236624;1201,794137
101;255,673655;1208,60583
101;257,7231217;1219,128827
101;259,7731313;1225,8208
101;261,8234632;1230,238103
101;263,8723106;1245,130861
101;265,9219214;1254,636242
101;267,9728218;1255,042943
101;270,0229247;1261,076459
101;272,0706013;1284,229861
101;274,1219089;1281,763294
101;276,1723342;1285,52214
101;278,2213873;1298,963299
101;280,2718189;1302,67725
101;282,3207426;1317,03127
101;284,3710576;1321,568293
101;286,4204224;1332,809607
101;288,4700588;1342,135409
101;290,5216378;1337,753329
101;292,570536;1352,286929
101;294,619587;1365,743053
101;296,6696475;1372,075868
101;298,7190887;1382,778444
101;300,7689116;1390,787332
101;302,8176402;1406,518126
101;304,8694568;1400,459974
101;306,9211716;1395,120139
101;308,9695014;1413,664341
101;311,0191886;1422,630985
101;313,0694442;1427,587025
101;315,1213541;1420,870416
101;317,1727805;1417,565812
101;319,2256151;1404,32449
101;321,2752768;1413,470713
101;323,324981;1422,317637
101;325,3740998;1435,294884
101;327,4276301;1417,145063
101;329,4776312;1423,896896
101;331,5288879;1421,789487
101;333,5777946;1436,263227
101;335,6278042;1442,9552
101;337,681538;1423,368746
101;339,7301987;1439,578418
101;341,7800387;1447,467586
101;343,8303791;1451,82503
101;345,880236;1459,594478
101;347,9303304;1465,687854
101;349,9820706;1460,16844
101;352,030163;1480,388715
101;354,0813433;1478,820043
101;356,1312256;1486,409913
101;358,1818375;1488,851844
101;360,2311175;1500,691755
101;362,2814665;1504,989339
101;364,3326722;1503,241088
101;366,382597;1510,531659
101;368,4334973;1510,938359
101;370,4829385;1521,640935
101;372,5323543;1532,52309
101;374,5838315;1528,859328
101;376,6341211;1533,57593
101;378,6831381;1547,271493
101;380,7329695;1555,220521
101;382,7847182;1549,641247
101;384,8342103;1559,984664
101;386,8838382;1569,370326
101;388,9338053;1576,361598
101;390,9856219;1570,303446
101;393,035903;1575,079907
101;395,0858701;1582,071179
101;397,1367959;1582,2983
101;399,1859402;1595,095967
101;401,2369084;1595,023789
101;403,2867229;1603,092537
101;405,3367664;1609,545071
101;407,3872596;1612,825039
101;409,436073;1627,957236
101;411,4873127;1625,969546
101;413,5402152;1612,249347
101;415,5880869;1634,025975
101;417,6367306;1650,355367
101;419,6899216;1634,599937
101;421,7397784;1642,369385
101;422,947934;1668,999692
102;195,8959045;693,9919176
102;197,7794569;705,7862666
102;201,950648;728,602343
102;204,4647131;749,9092662
102;206,5134954;765,260949
102;208,5613643;787,0575309
102;210,6078108;818,8905966
102;212,6530272;859,4033251
102;214,4183308;901,5863237
102;217,6706922;975,8601513
102;219,7157729;1017,330636
102;221,7622109;1049,223561
102;223,8098027;1072,975561
102;225,765232;1089,227696
102;227,9073871;1103,539254
102;230,2831619;1113,925607
102;232,0068124;1121,113383
102;233,2183869;1123,620213
102;236,3860922;1137,428777
102;240,0203914;1147,942255
102;241,8839463;1154,661953
102;244,9588109;1165,75677
102;247,8474347;1175,370845
102;250,7349717;1192,652954
102;253,5704489;1201,38399
102;255,0210091;1209,088627
102;258,4680308;1225,435275
102;261,8225301;1236,822675
102;264,027856;1243,932733
102;265,4565507;1249,301548
102;268,9038885;1263,417708
102;271,2643371;1272,312648
102;272,8587141;1278,046277
102;275,0533489;1287,50423
102;276,8238879;1292,746284
102;279,3862695;1302,031594
102;281,2404456;1309,148251
102;283,359424;1317,845965
102;285,0230843;1325,455257
102;287,7252987;1334,777139
102;289,9846912;1344,109164
102;291,5453542;1350,190514
102;294,1023569;1360,884222
102;295,8309522;1369,726424
102;298,2067623;1379,863361
102;299,7440256;1386,603309
102;302,44624;1395,925191
102;304,4431185;1401,625523
102;306,5466494;1406,555589
102;308,4417697;1409,816537
102;310,6476442;1413,055665
102;312,6984852;1413,881384
102;314,7493092;1414,826821
102;316,5205693;1414,980797
102;318,8508554;1417,436014
102;320,9014843;1419,758226
102;325,0031153;1421,768821
102;327,1936344;1423,723552
102;328,265692;1423,964035
102;331,2485212;1426,662253
102;333,9515362;1430,334873
102;335,6291288;1433,608529
102;338,052005;1440,546253
102;340,2575261;1446,279537
102;342,5666366;1451,972292
102;344,6375666;1457,227507
102;347,2784914;1460,476493
102;349,3287396;1465,484911
102;352,0312319;1472,846387
102;353,2427385;1475,832095
102;358,5540558;1493,67259
102;361,3500095;1499,368122
102;363,9591427;1507,672949
102;366,0092201;1513,886044
102;368,0595521;1518,303347
102;369,6438841;1521,825554
102;372,1603093;1526,479496
102;374,5833128;1532,519324
102;376,4472884;1536,270738
102;379,42951;1543,256411
102;381,3760225;1549,337107
102;383,3432442;1555,470887
102;386,1391884;1561,23388
102;388,1895543;1565,411744
102;390,095064;1568,453144
102;392,0105132;1574,450056
