id;description;temp;vel;stretch;stress
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,432674774;69143,7832
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,464858072;71634,10462
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,498328702;74124,42604
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,531799333;76199,69389
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,565269963;77859,90817
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,598740593;79935,17602
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,632211223;82010,44386
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,665681853;83878,18493
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,697865151;85123,34564
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,731335781;86576,03313
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,764806412;88236,24741
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,798277042;89896,46169
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,831747672;91556,67597
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,865218302;93009,36346
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,8974016;94254,52417
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,93087223;95707,21167
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,96434286;96952,37238
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,99781349;98405,05987
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,988802167;96329,79202
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,955331537;91971,72954
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,923148239;87613,66706
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,889677609;83255,60457
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,85749431;78897,54209
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,82402368;74747,00639
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,79055305;70596,47069
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,758369752;66653,46178
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,724899122;62710,45287
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,691428492;58974,97074
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,659245193;55447,0154
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,625774563;51711,53327
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,593591265;48183,57792
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,560120635;44655,62258
