id;temp;stretch;dt;stress
1;253,15;1,000966338;0,797183908;-0,006080562
1;253,15;1,083533737;0,825673991;0,542709601
1;253,15;1,162705801;0,791720635;0,707750882
1;253,15;1,241809648;0,791038473;0,799289174
1;253,15;1,320884987;0,79075339;0,860109799
1;253,15;1,399951672;0,790666847;0,911605417
1;253,15;1,482049601;0,820979289;0,954541426
1;253,15;1,561106919;0,790573177;0,995944096
1;253,15;1,64319599;0,82089071;1,029335687
1;253,15;1,722247911;0,790519215;1,064923942
1;253,15;1,80130136;0,790534487;1,102157787
1;253,15;1,880355827;0,790544669;1,140488691
1;253,15;1,95940673;0,790509033;1,174979886
1;253,15;1,971204065;0,8;0,787707687
1;253,15;1,891871643;0,793324226;0,449879528
1;253,15;1,812683798;0,791878449;0,267833824
1;253,15;1,73354737;0,791364282;0,141189627
1;253,15;1,654431814;0,79115556;0,037035151
2;253,15;1,004018047;0,600201614;0,007410725
2;253,15;1,062199671;0,581816237;0,478330024
2;253,15;1,120076765;0,578770942;0,621118814
2;253,15;1,183979389;0,639026237;0,706965123
2;253,15;1,241778595;0,577992055;0,765828858
2;253,15;1,302606601;0,608280062;0,81350004
2;253,15;1,363425444;0,608188428;0,851297687
2;253,15;1,421200519;0,577750753;0,884161111
2;253,15;1,482011726;0,608112067;0,913730811
2;253,15;1,542822321;0,608105958;0,942642275
2;253,15;1,603631084;0,608087631;0,969579032
2;253,15;1,661400051;0,577689664;0,995860099
2;253,15;1,722207185;0,608071341;1,021041561
2;253,15;1,783014319;0,608071341;1,046223022
2;253,15;1,843821962;0,608076431;1,071953014
2;253,15;1,904632151;0,608101885;1,100425654
2;253,15;1,962400404;0,577682537;1,12593878
2;253,15;2,023210389;0,608099849;1,154192008
2;253,15;2,080982817;0,577724281;1,184203077
2;253,15;2,141792497;0,608096794;1,212127188
2;253,15;2,202606758;0,608142611;1,244988066
2;253,15;2,263418983;0,608122248;1,275654826
2;253,15;2,324232735;0,608137521;1,307967175
2;253,15;2,38505005;0,608173156;1,344119232
2;253,15;2,442826958;0,57776908;1,378957363
2;253,15;2,500604274;0,577773152;1,414234318
2;253,15;2,561420571;0,608162974;1,449289316
2;253,15;2,622240432;0,60819861;1,488184022
2;253,15;2,683061311;0,608208791;1,528175787
2;253,15;2,74388779;0,60826479;1,57420138
2;253,15;2,804716305;0,608285153;1,622421093
2;253,15;2,862504617;0,577883113;1,669546291
2;253,15;2,923335983;0,608313661;1,72083777
2;253,15;2,981127552;0,577915694;1,771473558
2;253,15;2,971622689;0,6;1,354159745
2;253,15;2,9105152;0,611074891;1,005345719
2;253,15;2,849534166;0,609810345;0,792786487
2;253,15;2,788614831;0,609193345;0,646709064
2;253,15;2,730767365;0,57847466;0,535844707
2;253,15;2,66990576;0,608616052;0,451970559
2;253,15;2,6090579;0,608478602;0,382906716
2;253,15;2,548219203;0,608386968;0,323716408
2;253,15;2,490428245;0,577909585;0,273738856
2;253,15;2,429602377;0,608258681;0,228371498
2;253,15;2,368780785;0,608215918;0,187611791
2;253,15;2,307962247;0,608185374;0,150143262
2;253,15;2,250184016;0,577782316;0,113878954
2;253,15;2,189370264;0,608137521;0,081566605
2;253,15;2,128556512;0,608137521;0,049254256
2;253,15;2,067744287;0,608122248;0,018587497
3;253,15;0,986781231;0,501136613;-0,008482214
